movie_id|poster_image|name|born
415637|http://image.tmdb.org/t/p/w300/ep6d6GcGXTr9jE5gJOA3kWgS4Ef.jpg|David Warshofsky|1961
415638|http://image.tmdb.org/t/p/w300/11pXICpcdGJxGG8H8g1Bk3qc66V.jpg|Elias Koteas|1961
415639|http://image.tmdb.org/t/p/w300/54rsjgcmdZj2wymmKy3FPRgkrie.jpg|Louis Leterrier|1973
415644|http://image.tmdb.org/t/p/w300/7GXzpyHLCEA36J9biB0wJVAauiO.jpg|Jonah Hill|1983
415645|http://image.tmdb.org/t/p/w300/pXLRqgIFwsaFOyZvVU73OR3okQv.jpg|James Franco|1978
415646|http://image.tmdb.org/t/p/w300/ixYrXZ8GteLf1Mykpg3nZL7vbZr.jpg|Rihanna|1988
415647|http://image.tmdb.org/t/p/w300/l355sIA4H4OuuVk4LtGbYepQJr8.jpg|Emma Watson|1990
415680|http://image.tmdb.org/t/p/w300/ul1ZZY0XgCZUGEPIJPMzmkz0yda.jpg|Chris Evans|1981
415681|http://image.tmdb.org/t/p/w300/fwBGBI9IcgntOreXQBddnfNVLN0.jpg|Ophelia Lovibond|1986
415682|http://image.tmdb.org/t/p/w300/A4PTs0q30L3NY4ptbsGBDGb24X0.jpg|Benicio del Toro|1967
415683|http://image.tmdb.org/t/p/w300/wgOg5Xk87nHaw6BbdepaLJfkmtn.jpg|Ray Stevenson|1964
415684|http://image.tmdb.org/t/p/w300/gP5WpU5ZqgVou6PzasZsz4T3PI.jpg|Alice Krige|1954
415688|http://image.tmdb.org/t/p/w300/o9ypmQ2kOMHCxhvYgY1KRdSqipY.jpg|Joshua Dallas|1981
415689|http://image.tmdb.org/t/p/w300/wsht2mqNenfzPhmCfw3ol83NuEZ.jpg|Colm Feore|1958
415690|http://image.tmdb.org/t/p/w300/2cLXFS32FzVoslm1ocdecLvDqGm.jpg|Jeremy Renner|1971
415691|http://image.tmdb.org/t/p/w300/vST4tGTsVtHRuW0sRHY3EDizorW.jpg|Kenneth Branagh|1960
415648|http://image.tmdb.org/t/p/w300/49zyYG6HSQm76mN1SLmCCzgIN0Y.jpg|Jason Segel|1980
415649|http://image.tmdb.org/t/p/w300/3CQ0JLzycE7uS8vGSmlZTTq7jpK.jpg|Seth Rogen|1982
415650|http://image.tmdb.org/t/p/w300/9SFoTtDoB0oozIWH7L8BtuWKR37.jpg|Jay Baruchel|1982
415651|http://image.tmdb.org/t/p/w300/aUbZbJWLEnJ5JeT56AmGo94nxAd.jpg|Aziz Ansari|1983
415652|http://image.tmdb.org/t/p/w300/VO9kzSQWqFMfYjnVZghT8Hyk0M.jpg|David Krumholtz|1978
415653|http://image.tmdb.org/t/p/w300/rpjKbiS2z4miGHTXbndlSzl7Xnk.jpg|Martin Starr|1982
415654|http://image.tmdb.org/t/p/w300/O3d0uQDznAHS4uWobaP0WLR35n.jpg|Mindy Kaling|1979
415655|http://image.tmdb.org/t/p/w300/44DW4hNukuxNhGwyMScNNKhwflN.jpg|Danny McBride|1976
415656|http://image.tmdb.org/t/p/w300/tVaRMkJXOEVhYxtnnFuhqW0Rjzz.jpg|Craig Robinson|1971
415657|http://image.tmdb.org/t/p/w300/kxeJQa9Ae7Ns1J1b5012SMeyXn2.jpg|Michael Cera|1988
415658|http://image.tmdb.org/t/p/w300/pioU58yFxKrazfWD9CZCXyyCf74.jpg|Christopher Mintz-Plasse|1989
415659|http://image.tmdb.org/t/p/w300/p0UUmSjbUy2V3Y8A1lTnQKbYvjL.jpg|Paul Rudd|1969
